RoiName;FunctionType;DoseLevel;DoseLevel;IsRobust;Weight;HighDoseLevel;LowDoseDistance;AdaptToTargetDoseLevels
PTV HFS;Uniformdose;1;;False;90;;;
PTV HFS;MinDose;1;;False;125;;;
PTV HFS;MaxDose;1;;False;70;;;
PTV_1;MinDose;0.9;;False;1;;;
PTV_1;MaxDose;0.9;;False;1;;;
PTV_2;MinDose;0.63;;False;1;;;
PTV_2;MaxDose;0.63;;False;1;;;
PTV_3;MinDose;0.37;;False;1;;;
PTV_3;MaxDose;0.37;;False;1;;;
PTV_4;MinDose;0.16;;False;1;;;
PTV_4;MaxDose;0.16;;False;1;;;
PTV poumons;MinDose;1;;False;8;;;
PTV poumons;MaxDose;1;;False;15;;;
PTV poumons;Uniformdose;1;;False;3;;;
PTV reins;Uniformdose;1;;False;1;;;
PTV reins;MinDose;1;;False;1;;;
PTV reins;MaxDose;1;;False;1;;;
opt_jonction;DoseFallOff;0.625;;False;50;0.16;0.2;True
Poumons;MaxDose;0.625;;False;200;;;
Rein D;MaxEud;0.817;;False;100;;;
Rein G;MaxEud;0.817;;False;100;;;
PTV Paroi thoracique;MinDose;1;;False;60;;;
PTV Paroi thoracique;MaxDose;1;;False;60;;;
